	id_target	id_reference	sent_target	sent_reference	num_SS	num_DS	num_VDS	majority_vote
0	51	0	NASA's science rover Perseverance, the most advanced astrobiology laboratory ever sent to another world, streaked through the Martian atmosphere on Thursday and landed safely on the floor of a vast crater, its first stop on a search for traces of ancient microbial life on the Red Planet.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	1	4	2	DS
1	52	1	Mission managers at NASA's Jet Propulsion Laboratory near Los Angeles burst into applause and cheers as radio signals confirmed that the six-wheeled rover had survived its perilous descent and arrived within its target zone inside Jezero Crater, site of a long-vanished Martian lake bed.	The six wheels of the 2,260-pound Perseverance rover landed in Jezero Crater, a former lake bed once fed by flowing water that scientists say would have been a welcoming home for microbes in Mars' warmer, wetter past.	1	5	1	DS
2	53	29	The CountdownToMars is complete, but the mission is just beginning.	Arriving safely at Mars was just the first hurdle of the 2.4-billion Mars 2020 mission, which will last for at least one Martian year (about 687 days on Earth). '	1	2	4	VDS
3	54	17	The robotic vehicle sailed through space for nearly seven months, covering 472 million km (293 million miles) before piercing the Martian atmosphere at 19,000 km an hour (12,000 miles per hour) to begin its approach to touchdown on the planet's surface.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	1	3	3	<\n>
4	55	26	NASA's Perseverance Mars Rover ( February 18, 2021	NASA's Perseverance Mars Rover ( February 18, 2021	7	0	0	SS
5	56	16	The spacecraft's self-guided descent and landing during a complex series of manoeuvres that NASA dubbed 'the seven minutes of terror' stands as the most elaborate and challenging feat in the annals of robotic spaceflight.	Perseverance, the star of Mars 2020, survived a hair-raising arrival procedure that's often referred to as the 'seven minutes of terror.'	1	5	1	DS
6	57	12	This is a sign: NASA works, NASA works,' Rob Manning, chief engineer for NASA's Jet Propulsion Laboratory, said moments after the landing. '	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"	1	4	2	DS
7	58	8	And we put our arms together, and our hands together, and our brains together, we can succeed.	When we put our arms together and our hands together and our brains together, we can succeed.	7	0	0	SS
8	59	8	When we put our arms together and our hands together and our brains together, we can succeed.	When we put our arms together and our hands together and our brains together, we can succeed.	7	0	0	SS
9	60	12	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"	7	0	0	SS
10	61	29	The landing represented the riskiest part of two-year, 2.7bn endeavour whose primary aim is to search for possible fossilised signs of microbes that may have flourished on Mars some three billion years ago, when the fourth planet from the sun was warmer, wetter and potentially hospitable to life.	Arriving safely at Mars was just the first hurdle of the 2.4-billion Mars 2020 mission, which will last for at least one Martian year (about 687 days on Earth). '	0	1	6	VDS
11	62	35	Scientists hope to find biosignatures embedded in samples of ancient sediments that Perseverance is designed to extract from Martian rock for future analysis back on Earth ' the first such specimens ever collected by humans from another planet.	The rover's job will be to select a promising and diverse set of samples, which it will collect and stow on the surface for future spacecraft to retrieve and ferry back to scientists waiting on Earth.	1	4	2	DS
12	63	26	NASA's Perseverance Mars Rover ( February 18, 2021 And another look behind me.	NASA's Perseverance Mars Rover ( February 18, 2021	4	2	1	SS
13	64	26	( February 18, 2021 Two subsequent Mars missions are planned to retrieve the samples and return them to NASA in the next decade.	NASA's Perseverance Mars Rover ( February 18, 2021	0	2	5	VDS
14	65	21	Thursday's landing came as a triumph for a pandemic-weary United States in the grips of economic dislocation caused by the COVID-19 public health crisis. '	Another pivotal moment in the landing sequence came when Perseverance successfully deployed its parachute. '	0	1	6	VDS
15	66	6	What an amazing team to work through all the adversity and challenges that go with landing a rover on Mars, plus the challenges of COVID,' said acting NASA Administrator Steve Jurczyk.	Members of NASA's Mars 2020 team at JPL react after receiving confirmation that the Perseverance rover successfully touched down on Mars.	1	2	4	VDS
16	67	6	What an amazing team to work through all the adversity and challenges that go with landing a rover on Mars, plus the challenges of COVID.	Members of NASA's Mars 2020 team at JPL react after receiving confirmation that the Perseverance rover successfully touched down on Mars.	0	4	3	DS
17	68	12	Acting Administrator Steve Jurczyk congratulates the team on a successful CountdownToMars:	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"	0	3	4	VDS
18	69	6	NASA scientists have described Perseverance as the most ambitious of nearly 20 US missions to Mars dating back to the Mariner spacecraft's 1965 fly-by.	Members of NASA's Mars 2020 team at JPL react after receiving confirmation that the Perseverance rover successfully touched down on Mars.	0	0	7	VDS
19	70	0	Larger and packed with more instruments than the four Mars rovers preceding it, Perseverance is set to build on previous findings that liquid water once flowed on the Martian surface and that carbon and other minerals altered by water and considered precursors to the evolution of life were present.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	3	4	VDS
20	71	44	Perseverance's payload also includes demonstration projects that could help pave the way for eventual human exploration of Mars, including a device to convert the carbon dioxide in the Martian atmosphere into pure oxygen.	The rover will also use an onboard instrument suite to synthesize oxygen using the carbon dioxide in the thin Martian atmosphere.	2	5	0	DS
21	72	45	The box-shaped tool, the first built to extract a natural resource of direct use to humans from an extraterrestrial environment, could prove invaluable for future human life support on Mars and for producing rocket propellant to fly astronauts home.	The proof-of-concept experiment could show that it's possible on Mars to create both breathable oxygen and spacecraft fuel ' two essential resources for any humans who may one day visit the red planet.	0	5	2	DS
22	73	42	Another experimental prototype Perseverance carried is a miniature helicopter designed to test the first powered, controlled flight of an aircraft on another planet.	Within weeks, Perseverance should be ready to deploy Ingenuity, a 4-pound, solar-powered helicopter that would be the first of its kind to fly on another world.	4	3	0	SS
23	74	42	If successful, the 1.8-kg (four-pound) helicopter could lead to low-altitude aerial surveillance of distant worlds, officials said.	Within weeks, Perseverance should be ready to deploy Ingenuity, a 4-pound, solar-powered helicopter that would be the first of its kind to fly on another world.	0	3	4	VDS
24	75	0	The daredevil nature of the rover's descent to the Martian surface, at a site that NASA described as both tantalising to scientists and especially hazardous for landing, was a momentous achievement in itself.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	2	5	VDS
25	76	6	[ survives on Mars] because of the team that performs the health and safety assessments everyday and communicates with the rover.	Members of NASA's Mars 2020 team at JPL react after receiving confirmation that the Perseverance rover successfully touched down on Mars.	0	0	7	VDS
26	77	27	""" surface mission manager Jessica Samuels takes a student question about what's next for Perseverance: pic.twitter.com/"	Jennifer Trosper, deputy project manager for Mars 2020, said the surface operations team was thrilled to have made it to the planet.	0	1	6	VDS
27	78	17	The multi-stage spacecraft carrying the rover soared into the top of Martian atmosphere at nearly 16 times the speed of sound on Earth, angled to produce aerodynamic lift while jet thrusters adjusted its trajectory.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	0	1	6	VDS
28	79	18	A jarring, supersonic parachute inflation further slowed the descent, giving way to deployment of a rocket-powered 'sky crane' vehicle that flew to a safe landing spot, lowered the rover on tethers, then flew off to crash a safe distance away.	The carefully choreographed routine required a heat shield, a supersonic parachute, retrorockets and the 'skycrane' maneuver, which involved lowering the rover from midair on a set of roughly 21-foot-long tethers.	0	7	0	DS
29	80	0	Perseverance's immediate predecessor, the rover Curiosity, landed in 2012 and remains in operation, as does the stationary lander InSight, which arrived in 2018 to study the deep interior of Mars.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	1	6	VDS
30	81	0	Last week, separate probes launched by the United Arab Emirates and China reached Martian orbit.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	0	7	VDS
31	82	26	NASA has unveiled the first pictures from its fifth Mars rover, Perseverance, after a successful landing on the red planet's Jezero crater at approximately 3:55 p.m. Thursday.	NASA's Perseverance Mars Rover ( February 18, 2021	0	3	4	VDS
32	83	26	The Mars 2020 Perseverance mission embodies our nation's spirit of persevering even in the most challenging of situations, inspiring, and advancing science and exploration.	NASA's Perseverance Mars Rover ( February 18, 2021	0	0	7	VDS
33	84	0	Perseverance, the most technologically advanced robot NASA has sent to date, traveled 293 million miles to reach Mars over the course of more than six months after launching on a United Launch Alliance Atlas V rocket from Cape Canaveral Space Station on July 30.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	4	3	DS
34	85	0	It will remain on Mars for nearly two years, searching for signs of ancient life and exploring the planet's surface.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	4	3	DS
35	86	29	The mission will help prepare the agency for future human exploration on Mars in the 2030s. '	Arriving safely at Mars was just the first hurdle of the 2.4-billion Mars 2020 mission, which will last for at least one Martian year (about 687 days on Earth). '	1	1	5	VDS
36	87	26	BUILDING BLOCKS OF LIFE EXIST' ON MARS, FORMER NASA ADMINISTRATOR CONFIRMS	NASA's Perseverance Mars Rover ( February 18, 2021	0	0	7	VDS
37	88	0	The 2.7 billion rover, built in NASA's Jet Propulsion Laboratory in Pasadena, Calif., is about 10 feet long, 9 feet wide, seven feet tall and about 2,260 pounds, roughly 278 pounds heavier than its predecessor, Curiosity.	NASA's newest rover touched down safely on the surface of Mars on Thursday, completing a 293-million-mile journey through space and setting the stage for a mission that seeks to find evidence of ancient extraterrestrial life.	0	0	7	VDS
38	89	17	Perserverance is designed to drive an average of 650 feet per Martian day and features seven scientific instruments, a robotic arm that reaches about seven feet long, a rock drill.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	0	1	6	VDS
39	90	44	The scientific instruments on the rover include a camera designed to take high-definition video, panoramic color and 3D images of the Martian surface and features in the atmosphere with a zoom lens to magnify distant targets, a group of sensors to measure weather and monitor dust on the planet's surface, a system that will be used to produce oxygen from the Martian carbon-dioxide atmosphere, an x-ray and camera system that can measure the chemical makeup of rocks and analyze features as small as a grain of salt, a ground-penetrating radar system to analyze geologic features under Mars' surface, a group of cameras, spectrometers, and a laser to search for organics and minerals as well as take clse up images of rock grains and surface textures, and a camera to identify the chemical composition of rocks and soils, including their atomic and molecular makeup.	The rover will also use an onboard instrument suite to synthesize oxygen using the carbon dioxide in the thin Martian atmosphere.	0	6	1	DS
40	91	7	"In addition, the rover carries a commemorative plate to honor COVID-19 healthcare workers and has the names of 10.9 million people stenciled into three of its silicon chips with the words ""Explore as one"" written in Morse code."	Some bumped fists with those around them while others shook them triumphantly in the air after mission officials confirmed the rover's landing at 12:55 p.m. 'NASA works,' said Rob Manning, JPL's chief engineer and a veteran of many Mars missions. '	1	0	6	VDS
41	92	16	"WOULD NIX ARTEMIS PROGRAM Perseverance's landing involved the ""seven minutes of terror,"" a fiery atmospheric entry in a protective capsule which involved a parachute-assisted descent."	Perseverance, the star of Mars 2020, survived a hair-raising arrival procedure that's often referred to as the 'seven minutes of terror.'	1	6	0	DS
42	93	16	"The ""seven minutes of terror"" is referred to by NASA engineers as the time it takes to enter the Martian atmosphere and descend to the surface."	Perseverance, the star of Mars 2020, survived a hair-raising arrival procedure that's often referred to as the 'seven minutes of terror.'	2	4	1	DS
43	94	17	The spacecraft is guided solely by pre-programmed controls in its onboard computer, due to a roughly 11 minute signal delay between Earth and Mars.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	1	0	6	VDS
44	95	17	Perseverance entered into the atmosphere at about 12,100 miles per hour in a protective capsule.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	0	3	4	VDS
45	96	18	The spacecraft then deployed a parachute to begin slowing down before removing its protective capsule and heat shield.	The carefully choreographed routine required a heat shield, a supersonic parachute, retrorockets and the 'skycrane' maneuver, which involved lowering the rover from midair on a set of roughly 21-foot-long tethers.	0	5	2	DS
46	97	17	The rover's landing mechanism then fired eight rocket thrusters to slow down from about 170 miles per hour to about two miles per hour and guide it to a proper landing spot before using a sky crane to lower onto Mars' surface.	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.	2	2	3	VDS
47	98	1	Perseverance landed in the Jezero Crater, a 28-mile-wide basin in the northern hemisphere of Mars, where NASA believes a body of water about the size of Lake Tahoe used to flow.	The six wheels of the 2,260-pound Perseverance rover landed in Jezero Crater, a former lake bed once fed by flowing water that scientists say would have been a welcoming home for microbes in Mars' warmer, wetter past.	1	3	3	<\n>
48	99	38	The Perseverance science team believes this ancient river delta and lake deposits could have collected and preserved organic molecules and other potential signs of microbial life.	That would have been an ideal environment for trapping any microbial life that may have existed billions of years ago.	2	5	1	DS
49	100	42	THE FOX NEWS APP Perseverance is also carrying the Ingenuity helicopter, a technology demonstration that will attempt the first powered, controlled flight on another planet.	Within weeks, Perseverance should be ready to deploy Ingenuity, a 4-pound, solar-powered helicopter that would be the first of its kind to fly on another world.	2	5	1	DS
50	101	46	Ingenuinity will be deployed in a few months from underneath the rover in a flat area.	It will be several weeks before Perseverance embarks on its science mission.	0	1	6	VDS
51	102	21	Perseverance will then drive about 330 feet away to capture the flight attempt with its cameras.	Another pivotal moment in the landing sequence came when Perseverance successfully deployed its parachute. '	1	0	6	VDS
52	103	38	Once Ingenuity's test flights are complete, the rover's search for evidence of ancient microbial life will begin.	That would have been an ideal environment for trapping any microbial life that may have existed billions of years ago.	0	2	5	VDS
53	104	35	Subsequent NASA missions, in cooperation with the European Space Agency, will send spacecraft to Mars to collect the cached samples recovered from the surface and return them to Earth for in-depth analysis.	The rover's job will be to select a promising and diverse set of samples, which it will collect and stow on the surface for future spacecraft to retrieve and ferry back to scientists waiting on Earth.	2	4	1	DS
